,Description,Quantity,Revenue
139,72 CAKE CASES DOLLY GIRL DESIGN,943,471.85
140,72 CAKE CASES VINTAGE CHRISTMAS,4293,2148.9900000000002
141,72 ROUND PINK DOILIES,115,166.75
142,72 SWEETHEART FAIRY CAKE CASES,21471,10200.32
143,75 BLACK FAIRY CAKE CASES,986,479.90000000000003
144,75 BLACK PETIT FOUR CASES,478,200.76
145,75 GREEN FAIRY CAKE CASES,2041,1013.35
146,75 GREEN PETIT FOUR CASES,1063,446.46
147,A4 WALL TIDY BLUE OFFICE,126,70.38000000000001
148,A4 WALL TIDY RED FLOWERS,2,1.3
149,ABSTRACT CIRCLE JOURNAL ,798,1582.2
150,ABSTRACT CIRCLES NOTEBOOK,3188,700.1999999999999
151,ABSTRACT CIRCLES POCKET BOOK,5233,797.65
152,ABSTRACT CIRCLES SKETCHBOOK ,476,1257.0
153,"ACRYLIC BEAD CHAIN, BLUE",229,87.02
154,"ACRYLIC BEAD CHAIN, PINK",114,43.32
155,"ACRYLIC BEAD GARLAND,PINK",2,5.9
156,ACRYLIC GEOMETRIC LAMP,15,276.25
157,"ACRYLIC HANGING JEWEL,BLUE",115,81.11
158,"ACRYLIC JEWEL ANGEL,BLUE",137,52.93
159,"ACRYLIC JEWEL ANGEL,PINK",214,95.24000000000001
160,"ACRYLIC JEWEL ICICLE, BLUE",372,156.6
161,"ACRYLIC JEWEL ICICLE, PINK",288,109.44
162,"ACRYLIC JEWEL SNOWFLAKE, PINK",6,12.6
163,"ACRYLIC JEWEL SNOWFLAKE,BLUE",235,91.47
164,"ACRYLIC JEWEL SNOWFLAKE,PINK",400,186.72
165,ADVENT CALENDAR GINGHAM SACK,982,5746.900000000001
166,AFGHAN SLIPPER SOCK PAIR,2317,7388.65
167,AGED GLASS SILVER T-LIGHT HOLDER,7490,4614.1
168,AIRLINE BAG VINTAGE JET SET BROWN,236,1195.9
169,AIRLINE BAG VINTAGE JET SET RED,461,2454.25
170,AIRLINE BAG VINTAGE JET SET WHITE,268,1380.5
171,AIRLINE BAG VINTAGE TOKYO 78,723,3604.35
172,AIRLINE BAG VINTAGE WORLD CHAMPION ,313,1652.75
173,"AIRLINE LOUNGE,METAL SIGN",414,869.4000000000001
174,ALARM CLOCK BAKELIKE CHOCOLATE,554,2033.58
175,ALARM CLOCK BAKELIKE GREEN,1339,5019.81
176,ALARM CLOCK BAKELIKE IVORY,887,3280.89
177,ALARM CLOCK BAKELIKE ORANGE,705,2642.31
178,ALARM CLOCK BAKELIKE PINK,905,3348.39
179,ALARM CLOCK BAKELIKE RED ,1635,6067.89
180,ALPHABET HEARTS STICKER SHEET,466,396.09999999999997
181,ALPHABET STENCIL CRAFT,1907,2199.07
182,AMBER BERTIE GLASS BEAD BAG CHARM,1,2.1
183,AMBER BERTIE MOBILE PHONE CHARM,17,28.73
184,AMBER CHUNKY BEAD BRACELET W STRAP,26,232.7
185,AMBER CHUNKY GLASS+BEAD NECKLACE,18,215.1
186,AMBER CRYSTAL DROP EARRINGS,1,2.95
187,AMBER DIAMANTE EXPANDABLE RING,14,59.5
188,AMBER DROP EARRINGS W LONG BEADS,6,17.700000000000003
189,AMBER FINE BEAD NECKLACE W TASSEL,5,29.75
190,AMBER GLASS BRACELET HEART CHARMS,9,44.550000000000004
191,AMBER GLASS TASSLE BAG CHARM,30,88.5
192,AMBER GLASS/SHELL/PEARL NECKLACE,2,17.9
193,AMBER GLASS/SILVER BRACELET,22,190.45
194,AMETHYST CHUNKY BEAD BRACELET W STR,30,268.5
195,AMETHYST DIAMANTE EXPANDABLE RING,32,136.0
196,AMETHYST HOOP EARRING FLORAL LEAF,51,150.45000000000002
197,ANGEL DECORATION 3 BUTTONS ,4085,1672.5
198,ANGEL DECORATION PAINTED ZINC ,1554,923.7
199,ANGEL DECORATION STARS ON DRESS,3127,1313.34
200,ANGEL DECORATION WITH LACE PADDED,1536,1305.6
201,ANGEL ON KNEES METAL POLE 100CM H,6,5.1
202,ANIMAL STICKERS,1748,365.88
203,ANT COPPER LIME BOUDICCA BRACELET,54,267.3
204,ANT COPPER PINK BOUDICCA BRACELET,43,210.4
205,ANT COPPER RED BOUDICCA BRACELET,30,148.5
206,ANT COPPER TURQ BOUDICCA BRACELET,44,217.8
207,ANT SILVER FUSCHIA BOUDICCA RING,28,82.60000000000001
208,ANT SILVER LIME GREEN BOUDICCA RING,28,82.60000000000001
209,ANT SILVER PURPLE BOUDICCA RING,17,50.150000000000006
210,ANT SILVER TURQUOISE BOUDICCA RING,23,67.85000000000001
211,ANT WHITE HIGH RISE BIRD BOX,49,304.0
212,ANT WHITE IRON BASKET,34,192.3
213,ANT WHITE SWEETHEART TABLE W 3 DRAW,3,320.0
214,ANT WHITE WIRE HEART SPIRAL,1380,4788.400000000001
215,ANTIQUE ALL GLASS CANDLESTICK,921,1047.5800000000002
216,ANTIQUE CREAM CUTLERY CUPBOARD,27,344.25
217,ANTIQUE CREAM CUTLERY SHELF ,80,680.0
218,ANTIQUE EDWARDIAN DRESSER,52,737.4
219,ANTIQUE GLASS DRESSING TABLE POT,636,1857.0
220,ANTIQUE GLASS HEART DECORATION ,1851,3523.0499999999997
221,ANTIQUE GLASS PEDESTAL BOWL,307,1151.25
222,ANTIQUE GLASS PLACE SETTING,717,841.53
223,ANTIQUE GLASS RIDGED HANGING BALL,787,1477.05
224,ANTIQUE LILY FAIRY LIGHTS,2669,12085.95
225,ANTIQUE MID BLUE FLOWER EARRINGS,3,12.75
226,ANTIQUE OLIVE GREEN FLOWER EARRINGS,11,46.75
227,ANTIQUE OPAL WHITE FLOWER EARRINGS,4,17.0
228,ANTIQUE RASPBERRY FLOWER EARRINGS,2,8.5
229,ANTIQUE SILVER TEA GLASS ENGRAVED,7070,8203.66
230,ANTIQUE SILVER TEA GLASS ETCHED,16008,18555.36
231,ANTIQUE TALL SWIRLGLASS TRINKET POT,316,1185.0
232,APPLE BATH SPONGE,2101,2535.05
233,APRON APPLE DELIGHT,227,1053.65
234,APRON MODERN VINTAGE COTTON,160,592.0
235,AQUA BERTIE GLASS BEAD BAG CHARM,12,25.200000000000003
236,ARCHED GREY MIRROR,84,540.6
237,AREA PATROLLED METAL SIGN,3205,6323.780000000001
238,ARMY CAMO BOOKCOVER TAPE,20,8.4
239,ARMY CAMO WRAPPING TAPE,2246,157.18
240,"ART LIGHTS,FUNK MONKEY",262,704.1
241,ASS COL CIRCLE MOBILE ,285,106.74
242,ASS COL LARGE SAND FROG P'WEIGHT,696,661.32
243,ASS COL LARGE SAND GECKO P'WEIGHT,812,753.78
244,ASS COL SMALL SAND FROG P'WEIGHT,1147,445.74
245,ASS COL SMALL SAND GECKO P'WEIGHT,1567,626.1
246,ASS COLOUR GLOWING TIARAS,432,342.0
247,ASS DES PHONE SPONGE CRAFT STICKER,580,377.0
248,ASS FLORAL PRINT MULTI SCREWDRIVER,117,146.25
249,ASS FLORAL PRINT SCISSORS,6828,1169.4
250,ASS FLORAL PRINT SPIRIT LEVEL ,54,105.3
251,ASS FLORAL PRINT TAPE MEASURE,235,289.19
252,ASS FLORAL PRINT TORCH,2571,736.55
253,"ASS RETROSPOOF MUGS,SPORTS",143,75.0
254,ASS WINDPROOF MARIJUANA LIGHTERS,15,6.3
255,ASSORTED BOTTLE TOP  MAGNETS ,300,118.8
256,ASSORTED CAKES FRIDGE MAGNETS,2753,1720.3300000000002
257,ASSORTED CHEESE FRIDGE MAGNETS,611,391.39000000000004
258,ASSORTED CIRCULAR MOBILE,542,107.33999999999999
259,ASSORTED COLOUR BIRD ORNAMENT,44551,70493.83
260,ASSORTED COLOUR JUMBO PEN,247,103.74
261,ASSORTED COLOUR LIZARD SUCTION HOOK,496,191.04
262,ASSORTED COLOUR METAL CAT ,130,151.1
263,ASSORTED COLOUR MINI CASES,1341,9707.43
264,ASSORTED COLOUR SET 6 TEASPOONS,229,973.25
265,ASSORTED COLOUR SILK COIN PURSE,3551,1667.5900000000001
266,ASSORTED COLOUR SILK COSMETIC PURSE,1395,1537.5
267,ASSORTED COLOUR SILK GLASSES CASE,1988,1053.24
268,ASSORTED COLOUR SUCTION CUP HOOK,167,31.730000000000004
269,ASSORTED COLOUR T-LIGHT HOLDER,4193,2776.9700000000003
270,ASSORTED COLOURS SILK FAN,19202,12784.880000000001
271,ASSORTED CREEPY CRAWLIES,5245,2158.2599999999998
272,ASSORTED DESIGN FLOWER MUGS,8,6.8
273,ASSORTED DESIGN GEISHA GIRL MUGS,5,6.25
274,ASSORTED EASTER DECORATIONS  BELLS,314,337.78000000000003
275,ASSORTED EASTER GIFT TAGS,84,71.39999999999999
276,ASSORTED FARMYARD ANIMALS IN BUCKET,3750,1363.3799999999999
277,ASSORTED FLORAL SECATEURS,3143,1297.65
278,"ASSORTED FLOWER COLOUR ""LEIS""",14375,6892.87
279,ASSORTED FRAGRANCE BATH CONFETTI,56,23.52
280,ASSORTED ICE CREAM FRIDGE MAGNETS,2817,1755.8100000000002
281,ASSORTED INCENSE PACK,8105,1453.65
282,ASSORTED LAQUERED INCENSE HOLDERS,3643,638.3100000000001
283,ASSORTED MINI MADRAS NOTEBOOK,770,962.5
284,ASSORTED MONKEY SUCTION CUP HOOK,561,212.57999999999998
285,ASSORTED SANSKRIT MINI NOTEBOOK,1165,1401.53
286,ASSORTED SANTA CHRISTMAS DECORATION,48,40.8
287,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08
288,ASSORTED SHAPES PHOTO CLIP SILVER ,740,348.52
289,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1503,1277.55
290,ASSORTED TUTTI FRUTTI BRACELET,650,422.50000000000006
291,ASSORTED TUTTI FRUTTI HEART BOX,810,1012.5
292,ASSORTED TUTTI FRUTTI KEYRING,249,211.64999999999998
293,ASSORTED TUTTI FRUTTI KEYRING BALL,439,373.15
294,ASSORTED TUTTI FRUTTI LARGE PURSE,703,1476.3000000000002
295,ASSORTED TUTTI FRUTTI MIRROR,833,1036.69
296,ASSORTED TUTTI FRUTTI NOTEBOOK,768,1612.8000000000002
297,ASSORTED TUTTI FRUTTI PEN,1773,1475.85
298,ASSORTED TUTTI FRUTTI PHOTO FRAME,413,1120.75
299,ASSORTED TUTTI FRUTTI ROUND BOX,967,1595.5499999999997
300,ASSORTED TUTTI FRUTTI SMALL PURSE,1992,2394.2400000000002
301,ASSORTED WHITE EMBOSSED CHINA MUGS,680,1320.0
302,ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,22,27.5
303,ASSTD DESIGN 3D PAPER STICKERS,640,537.5
304,ASSTD DESIGN BUBBLE GUM RING,22470,4634.7
305,ASSTD DESIGN POP ART SLIM PEN,684,581.4
306,ASSTD DESIGN RACING CAR PEN,3073,4743.69
307,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,708,383.16
308,ASSTD HEARTS DESIGN MUGS,318,536.1
309,ASSTD MULTICOLOUR CIRCLES MUG,167,221.75
310,ASSTD RASTA KEY-CHAINS,27,11.34
311,Adjustment by Peter on Jun 25 2010 ,3,731.0500000000001
312,Adjustment by john on 26/01/2010 16,18,2107.41
313,Adjustment by john on 26/01/2010 17,14,1431.1100000000001
314,BABUSHKA LIGHTS STRING OF 10,1201,7453.75
315,BABY BOOM RIBBONS ,1730,2135.14
316,BABY MOUSE RED GINGHAM DRESS,358,1492.0
317,BAG 125g SWIRLY MARBLES,5229,2073.78
318,BAG 250g SWIRLY MARBLES,11934,8981.699999999999
319,BAG 500g SWIRLY MARBLES,1043,1615.3499999999997
320,BAG FOR CHILDREN VINTAGE BLUE ,96,408.0
321,BAG FOR CHILDREN VINTAGE PINK ,96,408.0
322,BAG OF SILVER STONES,101,42.42
323,BAKING MOULD CHOCOLATE CUP CAKES,12,30.599999999999998
324,BAKING MOULD CHOCOLATE CUPCAKES,38,96.89999999999999
325,BAKING MOULD EASTER EGG MILK CHOC,12,35.400000000000006
326,BAKING MOULD HEART MILK CHOCOLATE,91,199.65000000000003
327,BAKING MOULD HEART WHITE CHOCOLATE,87,189.45000000000002
328,BAKING MOULD ROSE MILK CHOCOLATE,81,227.25
329,BAKING MOULD ROSE WHITE CHOCOLATE,9,29.25
330,BAKING MOULD TOFFEE CUP CHOCOLATE,79,169.05000000000004
331,BAKING SET 9 PIECE RETROSPOT ,4255,20147.510000000002
332,BAKING SET SPACEBOY DESIGN,2150,10124.220000000001
333,BALLERINA HEART DECORATION.,338,468.4
334,BALLOON ART MAKE YOUR OWN FLOWERS,466,893.7
335,BALLOON PUMP WITH 10 BALLOONS,1782,3210.9
336,BALLOON WATER BOMB PACK OF 35,2552,1034.64
337,BALLOONS  WRITING SET ,926,1518.2999999999997
338,BANK ACCOUNT  GREETING  CARD ,763,314.7
339,BANQUET BIRTHDAY  CARD  ,2344,960.72
340,BAROQUE BUTTERFLY EARRINGS CRYSTAL,1,3.75
341,BAROQUE BUTTERFLY EARRINGS GREEN,2,7.5
342,BAROQUE BUTTERFLY EARRINGS MONTANA,3,11.25
343,BAROQUE BUTTERFLY EARRINGS PINK,2,7.5
344,BAROQUE BUTTERFLY EARRINGS RED,1,3.75
345,BASKET OF FLOWERS SEWING KIT,1003,852.55
346,BASKET OF TOADSTOOLS,826,1032.5
347,BASKET/8 SCENTED LOVE TOKEN CANDLES,121,453.75
348,BATH BUILDING BLOCK WORD,807,4774.05
349,BATH DUCK WATERING CAN,832,2016.5200000000002
350,BATHROOM METAL SIGN,7217,3736.21
351,BATHROOM METAL SIGN ,1400,1914.8
352,BATHROOM SCALES FOOTPRINTS IN SAND,46,159.7
353,BATHROOM SCALES RUBBER DUCKS,44,152.2
354,"BATHROOM SCALES, FAG BREAK",2,7.5
355,"BATHROOM SCALES, TROPICAL BEACH",19,71.25
356,BATHROOM SET LOVE HEART DESIGN,516,1219.8
357,BEACH HUT DESIGN BLACKBOARD,354,880.5
358,BEACH HUT KEY CABINET,340,715.0
359,BEACH HUT MIRROR,295,588.15
360,BEACH HUT PHOTO FRAME,574,583.0999999999999
361,BEACH HUT SHELF W 3 DRAWERS,223,590.85
362,BEADED CRYSTAL HEART BLUE  LARGE,196,323.4
363,BEADED CRYSTAL HEART BLUE ON STICK,236,129.88
364,BEADED CRYSTAL HEART BLUE SMALL,322,400.22
365,BEADED CRYSTAL HEART GREEN LARGE,59,97.34999999999998
366,BEADED CRYSTAL HEART GREEN ON STICK,189,91.05000000000001
367,BEADED CRYSTAL HEART GREEN SMALL,129,158.97
368,BEADED CRYSTAL HEART PINK LARGE,189,309.45
369,BEADED CRYSTAL HEART PINK ON STICK,373,157.85000000000002
370,BEADED CRYSTAL HEART PINK SMALL,493,613.97
371,BEADED CRYSTAL HEART PINK\ON STICK,16,20.0
372,BEADED LOVE HEART JEWELLERY SET,2098,1667.86
373,BEADED PEARL HEART WHITE LARGE,631,1038.7499999999998
374,BEADED PEARL HEART WHITE ON STICK,955,659.51
375,BEAUTY SPEED EXPRESSO CUPS,462,306.9
376,BEECH WOOD P/FRAME,5,36.25
377,BEECH WOOD PHOTO FRAME ,271,338.75
378,BEIGE PHOTO ALBUM,94,201.29999999999998
379,BENDY COLOUR PENCILS,4,1.68
380,BERRIES CHUNKY KNITTED THROW ,5,84.75
381,BEST DAD CANDLE LETTERS,186,127.85999999999999
382,BEWARE OF THE CAT DOORMAT,2,13.5
383,BEWARE OF THE CAT METAL SIGN ,5127,7789.83
384,BIG DOUGHNUT FRIDGE MAGNETS,4586,3816.9799999999996
385,BIG PINK POODLE,28,213.7
386,BIG POLKADOT MUG,72,125.99999999999999
387,BINGO SET,1716,6339.24
388,BIRD BOX CHRISTMAS TREE DECORATION,207,175.95
389,BIRD DECORATION GREEN  SPOT,586,498.09999999999997
390,BIRD DECORATION GREEN POLKADOT,96,81.6
391,BIRD DECORATION RED RETROSPOT,398,319.58
392,BIRD DECORATION RED SPOT,1139,966.5899999999999
393,BIRD HOUSE HOT WATER BOTTLE,1318,2847.9
394,BIRD IN TREE MUG ,4643,504.55
395,BIRDCAGE DECORATION MAGIC GARDEN,21,53.55
396,BIRDCAGE DECORATION TEALIGHT HOLDER,304,375.44
397,BIRDHOUSE DECORATION MAGIC GARDEN,1101,1281.25
398,BIRDHOUSE GARDEN MARKER ,1129,1411.25
399,BIRDS MOBILE VINTAGE DESIGN,399,2314.05
400,BIRTHDAY BANNER TAPE,24,30.0
401,BIRTHDAY BANQUET GIFT WRAP,1865,783.3
402,"BIRTHDAY CARD, RETRO SPOT",744,303.84
403,BIRTHDAY PARTY CORDON BARRIER TAPE,311,361.39
404,BISCUIT TIN VINTAGE GREEN,147,953.85
405,BISCUIT TIN VINTAGE RED,215,1403.25
406,"BISCUIT TIN, MINT,IVORY, VINTAGE",1,6.75
407,"BISCUIT TIN, RED,IVORY, VINTAGE",37,230.55
408,BISCUITS SMALL BOWL LIGHT BLUE,228,285.0
409,BLACK 3 BEAD DROP EARRINGS,2,5.9
410,BLACK 3 TIER GLASS PLATE STAND,10,127.5
411,BLACK AND WHITE CAT BOWL,220,444.3
412,BLACK AND WHITE DOG BOWL,192,556.1400000000001
413,BLACK AND WHITE PAISLEY FLOWER MUG,25685,3019.57
414,BLACK ASSORTED DROPLET DECORATION,59,22.42
415,BLACK BAROQUE CARRIAGE CLOCK,21,208.95
416,BLACK BAROQUE CUCKOO CLOCK,113,1134.75
417,BLACK BAROQUE WALL CLOCK ,24,306.0
418,BLACK BIRD GARDEN DESIGN MUG,6044,888.76
419,BLACK BOX MIRROR LANTERN,55,268.75
420,BLACK CANDELABRA T-LIGHT HOLDER,671,660.0600000000001
421,BLACK CHAMPAGNE GLASS,306,500.09999999999997
422,BLACK CHERRY LIGHTS,224,1374.2
423,BLACK CHRISTMAS FLOCK DROPLET ,155,114.07
424,BLACK CHRISTMAS TREE 120CM,40,324.72
425,BLACK CHRISTMAS TREE 60CM,394,389.50000000000006
426,BLACK CHUNKY BEAD BRACELET W STRAP,39,349.04999999999995
427,BLACK CRYSTAL DROP EARRINGS,2,5.9
428,BLACK DIAMANTE EXPANDABLE RING,33,140.25
429,BLACK DIAMOND CLUSTER EARRINGS,1,2.55
430,BLACK DIAMOND CLUSTER NECKLACE,3,26.849999999999998
431,BLACK DINER WALL CLOCK,304,2501.55
432,BLACK DROP CRYSTAL NECKLACE,1,9.95
433,BLACK DROP EARRINGS W LONG BEADS,1,2.95
434,BLACK EAR MUFF HEADPHONES,154,742.5
435,BLACK ENAMEL FLOWER RING,43,126.85000000000002
436,BLACK ENCHANTED FOREST PLACEMAT,720,1104.0
437,BLACK FACE LAMB WITH PANTS,101,376.59
438,BLACK FEATHER CHRISTMAS DECORATION,214,40.660000000000004
439,BLACK FINE BEAD NECKLACE W TASSEL,10,59.5
440,BLACK FLOCK GOLD CANDLE,49,20.580000000000002
441,BLACK FLOWER CANDLE PLATE,287,213.70999999999998
442,BLACK GEMSTONE BRACELET,52,465.4
443,BLACK GEMSTONE NECKLACE 45CM,12,153.0
444,BLACK GLASS BRACELET W HEART CHARMS,3,14.850000000000001
445,BLACK GLASS TV DOUBLE P/FRAME 15X10,17,72.25
446,BLACK GRAND BAROQUE PHOTO FRAME,669,1315.65
447,BLACK HEART CARD HOLDER,7538,20117.64
