date,total_revenue
15-09-2009,0
16-09-2009,0
17-09-2009,0
18-09-2009,0
19-09-2009,0
20-09-2009,0
21-09-2009,0
22-09-2009,0
23-09-2009,0
24-09-2009,0
25-09-2009,0
26-09-2009,0
27-09-2009,0
28-09-2009,0
29-09-2009,0
30-09-2009,0
01-10-2009,0
02-10-2009,0
03-10-2009,0
04-10-2009,0
05-10-2009,0
06-10-2009,0
07-10-2009,0
08-10-2009,0
09-10-2009,0
10-10-2009,0
11-10-2009,0
12-10-2009,38806.36
13-10-2009,0
14-10-2009,0
15-10-2009,0
16-10-2009,0
17-10-2009,0
18-10-2009,0
19-10-2009,0
20-10-2009,0
21-10-2009,0
22-10-2009,0
23-10-2009,0
24-10-2009,0
25-10-2009,0
26-10-2009,0
27-10-2009,0
28-10-2009,0
29-10-2009,0
30-10-2009,0
31-10-2009,0
01-11-2009,0
02-11-2009,0
03-11-2009,0
04-11-2009,0
05-11-2009,0
06-11-2009,0
07-11-2009,0
08-11-2009,0
09-11-2009,0
10-11-2009,0
11-11-2009,0
12-11-2009,39415.88
13-11-2009,0
14-11-2009,0
15-11-2009,0
16-11-2009,0
17-11-2009,0
18-11-2009,0
19-11-2009,0
20-11-2009,0
21-11-2009,0
22-11-2009,0
23-11-2009,0
24-11-2009,0
25-11-2009,0
26-11-2009,0
27-11-2009,0
28-11-2009,0
29-11-2009,0
30-11-2009,0
01-12-2009,0
02-12-2009,0
03-12-2009,0
04-12-2009,0
05-12-2009,0
06-12-2009,0
07-12-2009,0
08-12-2009,0
09-12-2009,0
10-12-2009,0
11-12-2009,0
12-12-2009,0
13-12-2009,21711.46
14-12-2009,51398.43
15-12-2009,46914.58
16-12-2009,37174
17-12-2009,30345.89
18-12-2009,31680.52
19-12-2009,0
20-12-2009,11423.33
21-12-2009,15568.04
22-12-2009,10702.74
23-12-2009,9507.42
24-12-2009,0
25-12-2009,0
26-12-2009,0
27-12-2009,0
28-12-2009,0
29-12-2009,0
30-12-2009,0
31-12-2009,0
01-01-2010,0
02-01-2010,16654.131
03-01-2010,23982.67
04-01-2010,28701.81
05-01-2010,0
06-01-2010,13191.66
07-01-2010,28965.25
08-01-2010,30724.29
09-01-2010,20387.01
10-01-2010,34597.86
11-01-2010,20819.29
12-01-2010,46376.49
13-01-2010,12409.99
14-01-2010,23843.47
15-01-2010,13507.54
16-01-2010,0
17-01-2010,17548.29
18-01-2010,12132.69
19-01-2010,22011.471
20-01-2010,13366.46
21-01-2010,27391.96
22-01-2010,29374.48
23-01-2010,0
24-01-2010,15691.72
25-01-2010,18375.19
26-01-2010,38647.22
27-01-2010,23758.02
28-01-2010,18949.43
29-01-2010,25427.991
30-01-2010,0
31-01-2010,18366.19
01-02-2010,0
02-02-2010,19715.71
03-02-2010,21707.53
04-02-2010,0
05-02-2010,12367.83
06-02-2010,13778.51
07-02-2010,16778.23
08-02-2010,26390.89
09-02-2010,33483.72
10-02-2010,0
11-02-2010,43000.14
12-02-2010,47316.53
13-02-2010,0
14-02-2010,17901.06
15-02-2010,42610.561
16-02-2010,25728.26
17-02-2010,26558.73
18-02-2010,35798.29
19-02-2010,18961.84
20-02-2010,0
21-02-2010,11477.911
22-02-2010,26341.79
23-02-2010,20896.28
24-02-2010,30413.861
25-02-2010,44631.31
26-02-2010,12799.391
27-02-2010,0
28-02-2010,16917.02
01-03-2010,0
02-03-2010,17265.551
03-03-2010,31906.24
04-03-2010,0
05-03-2010,0
06-03-2010,26787.3
07-03-2010,0
08-03-2010,22388.16
09-03-2010,34775.61
10-03-2010,38663.81
11-03-2010,42957.23
12-03-2010,23921.71
13-03-2010,0
14-03-2010,9032.7
15-03-2010,20611.431
16-03-2010,21152.84
17-03-2010,29619.48
18-03-2010,37629.29
19-03-2010,35397.14
20-03-2010,0
21-03-2010,20836.18
22-03-2010,21653.89
23-03-2010,41914.54
24-03-2010,26031.36
25-03-2010,30658.41
26-03-2010,29889.94
27-03-2010,0
28-03-2010,22562.62
29-03-2010,31812.08
30-03-2010,33648.52
31-03-2010,24695.87
01-04-2010,13450.54
02-04-2010,22661.8
03-04-2010,30037.15
04-04-2010,0
05-04-2010,18988.58
06-04-2010,11447.73
07-04-2010,10493.66
08-04-2010,17594.33
09-04-2010,0
10-04-2010,35019.51
11-04-2010,84346.78
12-04-2010,0
13-04-2010,25795.32
14-04-2010,27203.98
15-04-2010,19592.19
16-04-2010,19416.42
17-04-2010,0
18-04-2010,24096.88
19-04-2010,24620.04
20-04-2010,21323.69
21-04-2010,25962.71
22-04-2010,35766.15
23-04-2010,15124.24
24-04-2010,0
25-04-2010,16774.12
26-04-2010,29918.53
27-04-2010,43801.9
28-04-2010,31291.74
29-04-2010,29714.021
30-04-2010,24703.66
01-05-2010,19136.14
02-05-2010,19507.18
03-05-2010,25509.64
04-05-2010,0
05-05-2010,23642.83
06-05-2010,0
07-05-2010,31069.37
08-05-2010,23247.39
09-05-2010,12389.65
10-05-2010,55162.92
11-05-2010,40980.13
12-05-2010,31771.6
13-05-2010,39032.8
14-05-2010,16917.19
15-05-2010,0
16-05-2010,18478.89
17-05-2010,23339.74
18-05-2010,26274.83
19-05-2010,16710.4
20-05-2010,25434.03
21-05-2010,22560.06
22-05-2010,0
23-05-2010,25155.77
24-05-2010,33580.34
25-05-2010,20514.92
26-05-2010,29627.59
27-05-2010,29397.36
28-05-2010,18652.75
29-05-2010,0
30-05-2010,10784.46
31-05-2010,0
01-06-2010,8740.69
02-06-2010,0
03-06-2010,0
04-06-2010,17982.48
05-06-2010,51788.06
06-06-2010,25686
07-06-2010,19921.23
08-06-2010,14738.6
09-06-2010,23733.02
10-06-2010,30468.72
11-06-2010,0
12-06-2010,31215.64
13-06-2010,21333.72
14-06-2010,21388.51
15-06-2010,26973.08
16-06-2010,29305.64
17-06-2010,22812.78
18-06-2010,17800.34
19-06-2010,0
20-06-2010,9113.43
21-06-2010,18246.3
22-06-2010,12431.13
23-06-2010,25098.24
24-06-2010,17268.73
25-06-2010,12377.64
26-06-2010,0
27-06-2010,18834.32
28-06-2010,51270.77
29-06-2010,32420.64
30-06-2010,31579.91
01-07-2010,73035.23
02-07-2010,17075.3
03-07-2010,19230.27
04-07-2010,32195.35
05-07-2010,32001.21
06-07-2010,45828.13
07-07-2010,24954.42
08-07-2010,0
09-07-2010,24407.5
10-07-2010,47747.15
11-07-2010,31829.1
12-07-2010,53795.31
13-07-2010,17463.76
14-07-2010,19502.47
15-07-2010,55987.63
16-07-2010,21148.11
17-07-2010,0
18-07-2010,14646.26
19-07-2010,28646.42
20-07-2010,23217.99
21-07-2010,19171.47
22-07-2010,21672.08
23-07-2010,23925.32
24-07-2010,0
25-07-2010,17431.3
26-07-2010,20346.23
27-07-2010,28293.86
28-07-2010,23308.92
29-07-2010,32923.63
30-07-2010,14391.34
31-07-2010,0
01-08-2010,30317.8
02-08-2010,13047.56
03-08-2010,26607.28
04-08-2010,39938.28
05-08-2010,0
06-08-2010,48431.52
07-08-2010,20020.69
08-08-2010,14135.34
09-08-2010,16209.63
10-08-2010,51889.25
11-08-2010,32430.401
12-08-2010,39248.82
13-08-2010,15269.89
14-08-2010,0
15-08-2010,20679.97
16-08-2010,14341.34
17-08-2010,28821.02
18-08-2010,35233.12
19-08-2010,30741.84
20-08-2010,23264.37
21-08-2010,0
22-08-2010,22766.81
23-08-2010,20665.02
24-08-2010,26612.19
25-08-2010,30529.81
26-08-2010,32072.39
27-08-2010,12210.79
28-08-2010,0
29-08-2010,14509.78
30-08-2010,0
31-08-2010,22863.48
01-09-2010,0
02-09-2010,18445.98
03-09-2010,19701.84
04-09-2010,14707.33
05-09-2010,23143.29
06-09-2010,36609.86
07-09-2010,33417.54
08-09-2010,31355.41
09-09-2010,23633.48
10-09-2010,0
11-09-2010,53303.03
12-09-2010,38231.9
13-09-2010,32968.56
14-09-2010,19756.84
15-09-2010,33851.05
16-09-2010,27173.141
17-09-2010,19548.35
18-09-2010,0
19-09-2010,22984.34
20-09-2010,38634.58
21-09-2010,55151.61
22-09-2010,27261.12
23-09-2010,34375.74
24-09-2010,47160.31
25-09-2010,0
26-09-2010,21858.47
27-09-2010,115243.44
28-09-2010,40204.85
29-09-2010,36895.79
30-09-2010,37741.75
01-10-2010,23248.08
02-10-2010,6123.39
03-10-2010,23000.19
04-10-2010,0
05-10-2010,26539.18
06-10-2010,18089.8
07-10-2010,0
08-10-2010,28280.39
09-10-2010,16023.15
10-10-2010,23190.78
11-10-2010,73828.15
12-10-2010,0
13-10-2010,51841.53
14-10-2010,87053.6
15-10-2010,42504.37
16-10-2010,0
17-10-2010,31444.71
18-10-2010,36716.08
19-10-2010,46626.44
20-10-2010,43661.16
21-10-2010,33093.23
22-10-2010,32940.68
23-10-2010,0
24-10-2010,28872.3
25-10-2010,28007.03
26-10-2010,42670.75
27-10-2010,30541.15
28-10-2010,30771.4
29-10-2010,36158.84
30-10-2010,0
31-10-2010,30345.65
01-11-2010,19685.34
02-11-2010,15096
03-11-2010,21633.64
04-11-2010,19967.32
05-11-2010,25259.07
06-11-2010,30960.89
07-11-2010,7679.86
08-11-2010,18674.68
09-11-2010,0
10-11-2010,40044.11
11-11-2010,59838.16
12-11-2010,0
13-11-2010,0
14-11-2010,28344.41
15-11-2010,43238.62
16-11-2010,64020.54
17-11-2010,45982.431
18-11-2010,37235.14
19-11-2010,40229.5
20-11-2010,0
21-11-2010,32448.6
22-11-2010,31847.63
23-11-2010,50010.02
24-11-2010,41375.81
25-11-2010,68099.3
26-11-2010,28995.48
27-11-2010,0
28-11-2010,27587.26
29-11-2010,63425.28
30-11-2010,49956.57
01-12-2010,38903.13
02-12-2010,9742.16
03-12-2010,19146.25
04-12-2010,26011.031
05-12-2010,29794.61
06-12-2010,0
07-12-2010,16259.7
08-12-2010,26131.35
09-12-2010,15762.29
10-12-2010,46646.97
11-12-2010,36207.04
